MJ	Acipenseriformes	ORDER	27
NH	Albuliformes	ORDER	13
NX	Amiiformes	ORDER	1
PJ	Anguilliformes	ORDER	918
RW	Ateleopodiformes	ORDER	12
RY	Atheriniformes	ORDER	355
S8	Aulopiformes	ORDER	264
SV	Batrachoidiformes	ORDER	83
T6	Beloniformes	ORDER	270
6228Z	Beryciformes	ORDER	162
WQ	Cetomimiformes	ORDER	33
X2	Characiformes	ORDER	2140
YR	Clupeiformes	ORDER	395
334	Cypriniformes	ORDER	4406
335	Cyprinodontiformes	ORDER	1305
36H	Elopiformes	ORDER	9
37D	Esociformes	ORDER	14
38T	Gadiformes	ORDER	618
394	Gasterosteiformes	ORDER	29
62246	Gobiesociformes	ORDER	167
6223X	Gonorynchiformes	ORDER	37
623BF	Gymnotiformes	ORDER	234
3F6	Lampriformes	ORDER	23
3FS	Lepisosteiformes	ORDER	7
3GY	Lophiiformes	ORDER	359
3LB	Mugiliformes	ORDER	77
3LN	Myctophiformes	ORDER	254
3NQ	Notacanthiformes	ORDER	28
3PT	Ophidiiformes	ORDER	532
3QF	Osmeriformes	ORDER	326
3QH	Osteoglossiformes	ORDER	253
PC	Perciformes	ORDER	11230
3SB	Percopsiformes	ORDER	10
622V4	Pleuronectiformes	ORDER	785
3VJ	Polymixiiformes	ORDER	10
3VN	Polypteriformes	ORDER	14
3ZM	Saccopharyngiformes	ORDER	28
3ZR	Salmoniformes	ORDER	225
42M	Scorpaeniformes	ORDER	1641
6236K	Siluriformes	ORDER	3780
45N	Stephanoberyciformes	ORDER	70
463	Stomiiformes	ORDER	415
46Q	Synbranchiformes	ORDER	120
46T	Syngnathiformes	ORDER	323
47D	Tetraodontiformes	ORDER	439
4BY	Zeiformes	ORDER	33
